Pieces,Spotify Link,
Beethoven - Symphony No. 5 in C Minor,https://open.spotify.com/embed/track/6cUCckpdlqHJ5Ascf2uH2A?utm_source=generator,
Wagner - Ride of the Valkyries,,
Grieg - Peer Gynt Suite No 1: Morning Mood,,
"Vivaldi - The Four Seasons, ""Spring""",,
Barber - Adagio for Strings,,
Chopin - Nocturne No. 2,,
Pachelbel - Canon in D major,,
Orff - Carmina Burana: O Fortuna,,
"Bach - Orchestral Suite No. 3 in D major, ""Air""",,
"Holst - Jupiter, the Bringer of Jollity",,
Debussy - Clair de Lune,,
Verdi - Nabucco: Chorus of the Hebrew Slaves,,
Mozart - Piano Concerto No. 21 in C major,,
Bach - Brandenburg Concerto No. 3 in G major,,
Massenet - Thaïs: Meditation,,
Dvořák - Symphony No. 9 in E minor,,
Strauss II - On the Beautiful Blue Danube,,
Brahms - Hungarian Dance No. 5 in G minor,,
"Tchaikovsky - Swan Lake Suite, Scene",,
Satie - Gymnopédie No. 1,,
"Mozart - Requiem, Lacrimosa Dies Illa",,
"Beethoven - Bagatelle in A minor, ""Für Elise""",,
Elgar - Pomp and Circumstance,,
Bizet - Carmet Suite No. 2: Habanera,,
Bizet - Carmet Suite No. 1: Toreador March,,
"Beethoven - Symphony No. 9 in D minor, ""Ode an Die Fruede""",,
Offenbach - The tales of Hoffmann: Barcarolle,,
Giazotto - Adagio in G minor for Strings and Organ,,
"Mozart - Serenade No. 13 in G major, ""Eine Kleine Nachtmusik""",,
Rossini - The Barber of Seville: Overture,,
"Beethoven - Piano Sonata No. 14 in C-sharp minor, ""Moonlight Sonata""",,
Smetana - Má Vlast: Vltava,,
Boccherini - String Quintet in E major,,
Mozart - Symphony No.3 40 in G minor,,
Dvořák - Slavonic Dance No. 2,,
Gounod - Ave Maria,,
Sibelius - Finlandia,,
"Mozart - Piano Sonata No. 11 in A Major, Rondo: Alla Turca",,
Mozart - The Magic Flute: Overture,,
Handel - The Messiah: Hallelujah Chorus,,
Grieg - Peer Gynt Suite No. 1: In the Hall of the Mountain King,,
Fauré - Pavane,,
Bach - Double Concerto in D minor for Two Violins,,
Bizet - L'Arlésienne Suite No. 1: Prelude,,
Strauss I - Radetzky March,,
Beethoven - Egmont: Overture,,
Myers - Cavatina,,
"Corelli - Concerto Grosso No. 8 in G minor: ""Christmas Concerto""",,
Rachmaninoff - Vocalise,,
Verdi - Messa Da Requiem: Dies Irae - Tuba Mirum,,
Mahler - Symphony No. 5,,
Wagner - Tannhäuser: Overture,,
Mozart - Le nozze di Figaro: Overture,,
Berlioz - Symphonie fantastique,,
Liszt - La Campanella,,
Paganini - 24 Caprices: No. 24 in A minor,,
Debussy - La mer,,
Brahms - Wiegenlied,,
Tchaikovsky - The Nutcracker: March,,
Tchaikovsky - The Nutcracker: Waltz of the Flowers,,
Tchaikovsky - The Nutcracker: Dance of the Sugar Plum Fairy,,
Liszt - Hungarian Rhapsody No. 2 in C-sharp minor,,
Liszt - Liebestraum No 3. in A-flat major,,
Offenbach - Orpheus in the Underworld: Can-can,,
Gershwin - Rhapsody in Blue,,
Schumann - Happy Farmer,,
Bach - Toccata and Fugue in D minor,,
Prokofiev - Dance of the Knights,,
Bach - Partita for Solo Violin No. 2 in D minor: Chaconne,,
Bach - Prelude and Fugue in C major,,
"Mozart - Twelve Variations on ""Ah vous dirai-je, Maman"": Tema",,
Liszt - Un sospiro,,
Tchaikovsky - 1812 Overture,,
Tchaikovsky - The Nutcracker: Dance of the Reed-Flutes,,
Rossini - William Tell Overture,,
Ravel - Bolero,,